panel,kind,arm,seed,stage,condition,channel,nmae,mae,pinball
electricity,shape,B0,81551,fixed1024,STEP6_D17,0,0.34056490517907,8.226655044036402,0.28972066244982025
electricity,shape,B0,81551,fixed1024,STEP6_D17,1,0.27497969833625824,7.593781526307016,0.22312257484292883
electricity,shape,B0,81551,fixed1024,STEP6_D17,2,0.02831692727024749,1.7780048873487102,0.024421574683251557
electricity,shape,B0,81551,fixed1024,STEP6_D17,3,0.313627517028002,44.45325984867813,0.24948210763033932
electricity,shape,B0,81551,fixed1024,STEP6_D63,0,0.2804969853581117,6.775659806226936,0.2428813598212269
electricity,shape,B0,81551,fixed1024,STEP6_D63,1,0.22342143834491635,6.169959460097552,0.1774168915346382
electricity,shape,B0,81551,fixed1024,STEP6_D63,2,0.017442787869423985,1.0952234253682005,0.014409320333978634
electricity,shape,B0,81551,fixed1024,STEP6_D63,3,0.2875695284846328,40.75982584508956,0.22319248347741213
electricity,shape,B0,81551,fixed1024,STEP12_D17,0,0.37436891702554626,9.043221696490669,0.318398200345087
electricity,shape,B0,81551,fixed1024,STEP12_D17,1,0.4055514496580539,11.199623554079231,0.330033758291879
electricity,shape,B0,81551,fixed1024,STEP12_D17,2,0.039490858417361704,2.479610114528201,0.03497567461714147
electricity,shape,B0,81551,fixed1024,STEP12_D17,3,0.4005365888745197,56.77166733604071,0.3258616531212381
electricity,shape,B0,81551,fixed1024,STEP12_D63,0,0.29368869719333873,7.094317604075139,0.2540932311212552
electricity,shape,B0,81551,fixed1024,STEP12_D63,1,0.26439302799127185,7.301422264233234,0.20869811158928783
electricity,shape,B0,81551,fixed1024,STEP12_D63,2,0.023175796889113854,1.4551960297027433,0.019450507280122986
electricity,shape,B0,81551,fixed1024,STEP12_D63,3,0.3217810434917058,45.60893277562262,0.2504712952462133
electricity,shape,B0,81551,fixed1024,STEP8_D31,0,0.2998978644549799,7.244305686803124,0.26171526936140027
electricity,shape,B0,81551,fixed1024,STEP8_D31,1,0.23991694922225076,6.625496019797029,0.19206073301413074
electricity,shape,B0,81551,fixed1024,STEP8_D31,2,0.021026276467158458,1.3202287792232688,0.017500300122389525
electricity,shape,B0,81551,fixed1024,STEP8_D31,3,0.27914039797068924,39.565089067572366,0.2177900441716141
electricity,shape,B0,81551,fixed1024,STEP8_D33,0,0.30002121261114034,7.247285273706001,0.2603192247766057
electricity,shape,B0,81551,fixed1024,STEP8_D33,1,0.24976914316589718,6.897572136017678,0.19780308530926485
electricity,shape,B0,81551,fixed1024,STEP8_D33,2,0.025962458062291294,1.6301690109873435,0.02053767192373459
electricity,shape,B0,81551,fixed1024,STEP8_D33,3,0.28366878615369423,40.206938413262364,0.2215443940781131
electricity,shape,B0,81551,fixed1024,RAMP8_D32,0,0.46346060209745227,11.195312382385396,0.37857125004325953
electricity,shape,B0,81551,fixed1024,RAMP8_D32,1,0.7309655254143234,20.18619024183676,0.5531911079904355
electricity,shape,B0,81551,fixed1024,RAMP8_D32,2,0.0794817198978295,4.990615156952623,0.05961458254439347
electricity,shape,B0,81551,fixed1024,RAMP8_D32,3,0.7809907845111616,110.69687574702792,0.598466371769343
electricity,shape,B0,81551,fixed1024,PULSE8_D32,0,1.734727704949544,41.90392552764388,1.6269390874491318
electricity,shape,B0,81551,fixed1024,PULSE8_D32,1,4.572502720279381,126.27327361376956,4.446294972544392
electricity,shape,B0,81551,fixed1024,PULSE8_D32,2,0.7849000254083834,49.283457485958934,0.7670013593350334
electricity,shape,B0,81551,fixed1024,PULSE8_D32,3,4.8821288107269325,691.9881989136338,4.724828403474175
electricity,shape,B0,81551,fixed1024,PAIRED_SHIFT8_D32,0,0.2983072056933904,7.205881877639669,0.2602433270130435
electricity,shape,B0,81551,fixed1024,PAIRED_SHIFT8_D32,1,0.24481883131869517,6.760865365000813,0.1942798845260191
electricity,shape,B0,81551,fixed1024,PAIRED_SHIFT8_D32,2,0.021723453422013997,1.3640041515032426,0.017896242330698968
electricity,shape,B0,81551,fixed1024,PAIRED_SHIFT8_D32,3,0.28083364811583045,39.80508869963289,0.21963634655476236
electricity,shape,B0,81551,selected,STEP6_D17,0,0.34056490517907,8.226655044036402,0.28972066244982025
electricity,shape,B0,81551,selected,STEP6_D17,1,0.27497969833625824,7.593781526307016,0.22312257484292883
electricity,shape,B0,81551,selected,STEP6_D17,2,0.02831692727024749,1.7780048873487102,0.024421574683251557
electricity,shape,B0,81551,selected,STEP6_D17,3,0.313627517028002,44.45325984867813,0.24948210763033932
electricity,shape,B0,81551,selected,STEP6_D63,0,0.2804969853581117,6.775659806226936,0.2428813598212269
electricity,shape,B0,81551,selected,STEP6_D63,1,0.22342143834491635,6.169959460097552,0.1774168915346382
electricity,shape,B0,81551,selected,STEP6_D63,2,0.017442787869423985,1.0952234253682005,0.014409320333978634
electricity,shape,B0,81551,selected,STEP6_D63,3,0.2875695284846328,40.75982584508956,0.22319248347741213
electricity,shape,B0,81551,selected,STEP12_D17,0,0.37436891702554626,9.043221696490669,0.318398200345087
electricity,shape,B0,81551,selected,STEP12_D17,1,0.4055514496580539,11.199623554079231,0.330033758291879
electricity,shape,B0,81551,selected,STEP12_D17,2,0.039490858417361704,2.479610114528201,0.03497567461714147
electricity,shape,B0,81551,selected,STEP12_D17,3,0.4005365888745197,56.77166733604071,0.3258616531212381
electricity,shape,B0,81551,selected,STEP12_D63,0,0.29368869719333873,7.094317604075139,0.2540932311212552
