panel,kind,condition,new,baseline,new_nmae,baseline_nmae,gain_pct,ci_low_pct,ci_high_pct,common_draw_sha256,new_seed_count,baseline_seed_count,origin_count,exploratory,bonferroni3_low_pct,bonferroni3_high_pct,conditional_on_fixed_seeds,bootstrap_draws,bootstrap_seed
electricity,standard,SHIFT8,C3,C0,0.2008912272209722,0.2075439630376591,3.205458602272049,2.6235867692033983,3.855406193567105,78e12fd70a7511db82a764e277950bb4fce2d47c4eff082c9206e43494f9c9df,3.0,3.0,128.0,True,,,,,
electricity,standard,SHIFT8,C3,C2,0.2008912272209722,0.2028959995690425,0.9880787952096348,0.6293488437175987,1.3878846424331537,78e12fd70a7511db82a764e277950bb4fce2d47c4eff082c9206e43494f9c9df,3.0,3.0,128.0,True,,,,,
electricity,standard,SHIFT8,C3,M_RECENCY,0.2008912272209722,0.2011755002532902,0.1413059900236879,0.0457083068981825,0.2578301767881308,78e12fd70a7511db82a764e277950bb4fce2d47c4eff082c9206e43494f9c9df,3.0,3.0,128.0,True,,,,,
electricity_transfer,standard,SHIFT8,C3,C0,0.3586602241855592,0.3861212172449892,7.112013490314462,6.147136930761255,8.025053143312332,4ff26765fb88ba273db3c7fef021f11551ae34f8a4ed720167c20f144716d15c,3.0,3.0,128.0,True,,,,,
electricity_transfer,standard,SHIFT8,C3,C2,0.3586602241855592,0.3674775895870947,2.399429421381283,2.064138525618173,2.759328378177924,4ff26765fb88ba273db3c7fef021f11551ae34f8a4ed720167c20f144716d15c,3.0,3.0,128.0,True,,,,,
electricity_transfer,standard,SHIFT8,C3,M_RECENCY,0.3586602241855592,0.3593084020013816,0.1803959529507293,0.1316462106424129,0.2328662256817056,4ff26765fb88ba273db3c7fef021f11551ae34f8a4ed720167c20f144716d15c,3.0,3.0,128.0,True,,,,,
ettm1,standard,SHIFT8,C3,C0,0.5473460405955392,0.5445754299085022,-0.5087652756391448,-1.2419024901754432,0.197623746853162,59d331143ad997e4dd335f90e79fcefcce745f15079633045172aee905fae973,3.0,3.0,128.0,True,,,,,
ettm1,standard,SHIFT8,C3,C2,0.5473460405955392,0.5374188254312916,-1.8472027205747248,-2.407392516465773,-1.3160795297690588,59d331143ad997e4dd335f90e79fcefcce745f15079633045172aee905fae973,3.0,3.0,128.0,True,,,,,
ettm1,standard,SHIFT8,C3,M_RECENCY,0.5473460405955392,0.5474760310858456,0.0237435947741282,-0.0771654693043061,0.1201280842754268,59d331143ad997e4dd335f90e79fcefcce745f15079633045172aee905fae973,3.0,3.0,128.0,True,,,,,
ettm2,standard,SHIFT8,C3,C0,0.3249377990708426,0.3272458053261584,0.7052821511388085,0.4170030099785918,1.0143729383963862,b9c317cbded901c9b7dd496e748284d6137258855eba4c822730d0032d479d34,3.0,3.0,128.0,True,,,,,
ettm2,standard,SHIFT8,C3,C2,0.3249377990708426,0.3247921826533688,-0.0448337199141057,-0.1828241598174862,0.0759063972516973,b9c317cbded901c9b7dd496e748284d6137258855eba4c822730d0032d479d34,3.0,3.0,128.0,True,,,,,
neso_2025,standard,SHIFT8,C3,C0,0.3107266424424096,0.3286683313150148,5.458904057114289,4.1757954832746895,7.001664142185324,7eaee4c5251cd1b169f9c3aa7906f18e55a20c0f768bad0f13052aab07aca72e,3.0,3.0,128.0,True,,,,,
neso_2025,standard,SHIFT8,C3,C2,0.3107266424424096,0.3148577310222543,1.3120492758530222,0.602121336919445,2.022709673546304,7eaee4c5251cd1b169f9c3aa7906f18e55a20c0f768bad0f13052aab07aca72e,3.0,3.0,128.0,True,,,,,
neso_2025,standard,SHIFT8,C3,M_RECENCY,0.3107266424424096,0.3103896678001209,-0.1085650320376219,-0.2879174547338808,0.060208851707185,7eaee4c5251cd1b169f9c3aa7906f18e55a20c0f768bad0f13052aab07aca72e,3.0,3.0,128.0,True,,,,,
neso_2026_h1,standard,SHIFT8,C3,C0,0.3499445177539673,0.3629385072960579,3.580217937991093,1.9224764005338528,5.123468794921217,,,,,,1.557750467568484,5.518969049988531,True,2000.0,90401.0
neso_2026_h1,standard,SHIFT8,C3,C2,0.3499445177539673,0.3570288992577774,1.9842599628595023,1.121083585374566,2.650367274298674,,,,,,0.8551438355566932,2.7897882052646708,True,2000.0,90401.0
neso_2026_h1,standard,SHIFT8,C3,M_RECENCY,0.3499445177539673,0.3501588602191184,0.0612129206203571,-0.078433193766077,0.1893327041745673,,,,,,-0.1025347843696067,0.2172170758418358,True,2000.0,90401.0
