key,arm,seed,selected,variant,window,series,scaled_pinball,raw_mae,scaled_rmse,coverage80,scaled_width80,pce,crossing
CONTINUATION_s92242,CONTINUATION,92242,True,raw,full128,10,0.14570474433348854,1.71576540593271,0.414660275710776,0.9181985294117647,0.6326521835567672,0.056178513071895426,0.011043772977941176
CONTINUATION_s92242,CONTINUATION,92242,True,raw,full128,44,0.1416101565256719,2.4134196603341374,0.37851183898202656,0.8515625,0.591812952800008,0.041053921568627465,0.019200942095588234
CONTINUATION_s92242,CONTINUATION,92242,True,raw,full128,119,0.13761498815930034,1.1654831846102325,0.40193781655745875,0.8997012867647058,0.5978847255417952,0.07147160947712418,0.012020335477941176
CONTINUATION_s92242,CONTINUATION,92242,True,raw,full128,62,0.15047348108534433,1.7849358687538317,0.435835730306106,0.9221047794117647,0.653833840490329,0.06314848856209149,0.010555491727941176
CONTINUATION_s92242,CONTINUATION,92242,True,raw,full128,104,0.16121788294724346,3.0603776109042777,0.4617116946164626,0.8884420955882353,0.6861102442826815,0.06550500408496732,0.00913373161764706
CONTINUATION_s92242,CONTINUATION,92242,True,raw,full128,116,0.13850365023125769,1.6930337956413604,0.40494003342931745,0.8961397058823529,0.5959701480246017,0.061131535947712416,0.012767118566176471
CONTINUATION_s92242,CONTINUATION,92242,True,raw,full128,118,0.1389839058156679,1.6693311580574492,0.4066149288517048,0.9010799632352942,0.6013405095801994,0.06633986928104577,0.012939453125
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block1,36,0.1632247062209752,1.9778839184377028,0.4366412698630959,0.92578125,0.7472644624169048,0.1008016748366013,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block1,10,0.1702082649525514,2.0183424910334424,0.4513073344001446,0.9402573529411765,0.7795671188303399,0.08964971405228757,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block1,44,0.16063823473067063,2.744458369250745,0.4046127198683706,0.8903952205882353,0.7084272320896731,0.04970894607843137,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block1,119,0.16014427800753295,1.3525821192154528,0.43638864118475973,0.9237132352941176,0.727763738143106,0.1012612336601307,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block1,62,0.17554151484143102,2.0948282381633523,0.4738388178011131,0.9455422794117647,0.8060150105097709,0.08824550653594772,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block1,104,0.1866118636649606,3.5446344429258128,0.4983051745947815,0.9202665441176471,0.8350096897599046,0.10340584150326798,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block1,116,0.16026603020348826,1.951767817377592,0.4381218422027379,0.9221047794117647,0.7248721063119765,0.0985294117647059,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block1,118,0.1620611979252726,1.947849701233602,0.4418655947859903,0.9260110294117647,0.7337402468669637,0.10289522058823528,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block2,36,0.11579029130561311,1.399283060012642,0.3626544283084816,0.8793658088235294,0.47439799712327957,0.03768382352941177,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block2,10,0.1211802454383929,1.4130598551273579,0.3744423525668608,0.8961397058823529,0.48578186547119334,0.05222120098039216,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block2,44,0.12246949246444062,2.0816461579569854,0.3504709299078456,0.8200827205882353,0.4755287369062919,0.09009906045751634,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block2,119,0.11504841260162212,0.9779190683488302,0.36423843778517956,0.8770680147058824,0.4680538783028907,0.0451235702614379,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block2,62,0.1253847609462542,1.475010170486819,0.39418518356774335,0.8988970588235294,0.5016967707362344,0.043607026143790854,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block2,104,0.1357980704171638,2.5757016871207536,0.4219544648789065,0.8573069852941176,0.5372435845418141,0.03223039215686274,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block2,116,0.11670601330633881,1.433974844224234,0.3687822905827457,0.8720128676470589,0.46712024366427274,0.033343545751633986,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,block2,118,0.11586428433675121,1.390150274920469,0.3679986870701252,0.8766084558823529,0.4690010740093528,0.03515625,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,full128,36,0.13950749876329416,1.6885834892251723,0.40135634598160314,0.9025735294117647,0.6108312297700922,0.06813980800653593,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,full128,10,0.14569425519547216,1.7157011730804002,0.4146597312732267,0.9181985294117647,0.6326744921507668,0.05663807189542484,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,full128,44,0.14155386359755562,2.413052263603865,0.37851111330431936,0.8552389705882353,0.5919779844979824,0.0428155637254902,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,full128,119,0.1375963453045775,1.1652505937821416,0.4019357446876734,0.900390625,0.5979088082229983,0.07241625816993463,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,full128,62,0.1504631378938426,1.7849192043250857,0.435835510370307,0.9222196691176471,0.6538558906230025,0.06363357843137256,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,full128,104,0.16120496704106219,3.060168065023283,0.46171074140590446,0.8887867647058824,0.6861266371508592,0.06583690767973856,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,full128,116,0.13848602175491354,1.6928713308009131,0.40493896235270904,0.8970588235294118,0.5959961749881246,0.061999591503267976,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,ordered,full128,118,0.13896274113101192,1.6689999880770354,0.4066129840160745,0.9013097426470589,0.6013706604381582,0.06687602124183008,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,affine,block1,36,0.1632247062209752,1.9778839184377028,0.4366412698630959,0.92578125,0.7472644624169048,0.1008016748366013,0.0
